listing_id,date
18371407,5/3/17
1038791,5/2/17
1986344,5/2/17
3518676,5/2/17
4502646,5/2/17
5027767,5/2/17
5575185,5/2/17
7614218,5/2/17
8599666,5/2/17
9054597,5/2/17
9194055,5/2/17
9790385,5/2/17
10845191,5/2/17
12443915,5/2/17
12746696,5/2/17
13601093,5/2/17
14649863,5/2/17
17692002,5/2/17
17756295,5/2/17
17783689,5/2/17
18386196,5/2/17
636664,5/1/17
866701,5/1/17
991824,5/1/17
1108491,5/1/17
1328770,5/1/17
1534890,5/1/17
1585405,5/1/17
1986344,5/1/17
2069688,5/1/17
2507353,5/1/17
2543695,5/1/17
3025379,5/1/17
3048594,5/1/17
4502646,5/1/17
4919286,5/1/17
5223125,5/1/17
5702020,5/1/17
6418099,5/1/17
7365174,5/1/17
7427332,5/1/17
7552929,5/1/17
7814882,5/1/17
8605552,5/1/17
8766126,5/1/17
8836008,5/1/17
9913124,5/1/17
10286773,5/1/17
10422112,5/1/17
10429341,5/1/17
10845191,5/1/17
10865022,5/1/17
11149337,5/1/17
12215914,5/1/17
12247552,5/1/17
12267515,5/1/17
12286985,5/1/17
12452412,5/1/17
12864070,5/1/17
12959452,5/1/17
13027951,5/1/17
13427359,5/1/17
13738103,5/1/17
13958377,5/1/17
14527835,5/1/17
15349356,5/1/17
15577130,5/1/17
15855343,5/1/17
15949936,5/1/17
16013999,5/1/17
16096485,5/1/17
16107337,5/1/17
16422012,5/1/17
16835869,5/1/17
17121760,5/1/17
17606004,5/1/17
991824,4/30/17
1038791,4/30/17
1108491,4/30/17
1209063,4/30/17
1292916,4/30/17
2194840,4/30/17
2433570,4/30/17
2522970,4/30/17
2819790,4/30/17
3268690,4/30/17
4017995,4/30/17
4163391,4/30/17
4178600,4/30/17
4310567,4/30/17
4480525,4/30/17
4733497,4/30/17
5026455,4/30/17
5575185,4/30/17
5578067,4/30/17
5994895,4/30/17
6000928,4/30/17
6149034,4/30/17
6271039,4/30/17
6584668,4/30/17
6670508,4/30/17
7298474,4/30/17
7649576,4/30/17
7738154,4/30/17
8360000,4/30/17
8366368,4/30/17
8378393,4/30/17
8473696,4/30/17
8572907,4/30/17
8599666,4/30/17
8769507,4/30/17
8865330,4/30/17
8929714,4/30/17
8965535,4/30/17
9054597,4/30/17
9063100,4/30/17
9444009,4/30/17
9790385,4/30/17
9854143,4/30/17
10015096,4/30/17
10170353,4/30/17
10220506,4/30/17
10604260,4/30/17
10702272,4/30/17
10741934,4/30/17
11234792,4/30/17
11594953,4/30/17
11649861,4/30/17
12238423,4/30/17
12340596,4/30/17
12637515,4/30/17
12862721,4/30/17
13422873,4/30/17
13426813,4/30/17
14345431,4/30/17
14363275,4/30/17
14634076,4/30/17
14784214,4/30/17
14897210,4/30/17
14975438,4/30/17
15280340,4/30/17
15292817,4/30/17
15354236,4/30/17
15371998,4/30/17
15733589,4/30/17
15808837,4/30/17
15855343,4/30/17
16036573,4/30/17
16225766,4/30/17
16228171,4/30/17
16269392,4/30/17
16324282,4/30/17
16370797,4/30/17
16630701,4/30/17
16671362,4/30/17
16753399,4/30/17
17011231,4/30/17
17115288,4/30/17
17378579,4/30/17
17522166,4/30/17
17692002,4/30/17
17705145,4/30/17
18149585,4/30/17
18322358,4/30/17
18351730,4/30/17
778043,4/29/17
866701,4/29/17
1108491,4/29/17
2427717,4/29/17
2507353,4/29/17
7365174,4/29/17
8378393,4/29/17
8769507,4/29/17
8865330,4/29/17
8965535,4/29/17
9063100,4/29/17
9487949,4/29/17
10604260,4/29/17
10790061,4/29/17
11649861,4/29/17
13799108,4/29/17
15855343,4/29/17
16036573,4/29/17
16107337,4/29/17
16291478,4/29/17
16324282,4/29/17
16833815,4/29/17
17378579,4/29/17
17692002,4/29/17
17705145,4/29/17
18371407,4/29/17
1108491,4/28/17
1292916,4/28/17
1534890,4/28/17
2194840,4/28/17
2433570,4/28/17
2682808,4/28/17
3467654,4/28/17
4310567,4/28/17
4985922,4/28/17
6149034,4/28/17
7298474,4/28/17
7365174,4/28/17
7618448,4/28/17
7814882,4/28/17
8514381,4/28/17
8766126,4/28/17
8836008,4/28/17
9809677,4/28/17
10604260,4/28/17
10693965,4/28/17
11470423,4/28/17
11898838,4/28/17
12340596,4/28/17
12452412,4/28/17
12746696,4/28/17
13427359,4/28/17
14060986,4/28/17
14855524,4/28/17
15122446,4/28/17
15733589,4/28/17
16269392,4/28/17
17011231,4/28/17
17115288,4/28/17
17470798,4/28/17
17692002,4/28/17
575935,4/27/17
1808782,4/27/17
1986344,4/27/17
2059774,4/27/17
2069688,4/27/17
2427717,4/27/17
2507353,4/27/17
2682808,4/27/17
3025379,4/27/17
3048594,4/27/17
4178600,4/27/17
4322521,4/27/17
4502646,4/27/17
5345806,4/27/17
5382509,4/27/17
5994895,4/27/17
6280548,4/27/17
6657248,4/27/17
7977950,4/27/17
8104534,4/27/17
8772155,4/27/17
9194055,4/27/17
9809677,4/27/17
9854143,4/27/17
9911810,4/27/17
10170353,4/27/17
10286773,4/27/17
10422112,4/27/17
10693965,4/27/17
10845191,4/27/17
11649861,4/27/17
12100076,4/27/17
12286985,4/27/17
13263169,4/27/17
14345431,4/27/17
14798944,4/27/17
14975438,4/27/17
15349356,4/27/17
16036573,4/27/17
16096485,4/27/17
16107337,4/27/17
16269392,4/27/17
16324282,4/27/17
16835869,4/27/17
17252175,4/27/17
17377402,4/27/17
17470798,4/27/17
17692002,4/27/17
17756295,4/27/17
18220014,4/27/17
18322358,4/27/17
116134,4/26/17
224682,4/26/17
723033,4/26/17
1328770,4/26/17
1405414,4/26/17
1585405,4/26/17
1785355,4/26/17
2427717,4/26/17
2433570,4/26/17
2682808,4/26/17
2819412,4/26/17
3218767,4/26/17
3540493,4/26/17
3969576,4/26/17
4592434,4/26/17
5047962,4/26/17
5187760,4/26/17
5223125,4/26/17
5379855,4/26/17
5578067,4/26/17
5646286,4/26/17
5702020,4/26/17
6584668,4/26/17
6670508,4/26/17
7513572,4/26/17
7618448,4/26/17
7814882,4/26/17
8240785,4/26/17
8514381,4/26/17
8572907,4/26/17
8751883,4/26/17
8836008,4/26/17
8853612,4/26/17
8877884,4/26/17
8929714,4/26/17
9194055,4/26/17
9790385,4/26/17
10015096,4/26/17
10429341,4/26/17
10604260,4/26/17
10743570,4/26/17
11234792,4/26/17
11594953,4/26/17
11649861,4/26/17
12238423,4/26/17
12340596,4/26/17
12452412,4/26/17
12862721,4/26/17
13027951,4/26/17
13426813,4/26/17
14527835,4/26/17
